"geneId","geneIdNCBI","simplifiedId","simplifiedResistance","geneLength"
2575,"WP_032488414.1",914,"class A beta-lactamase TEM-219",286
2576,"WP_032488413.1",280,"class A beta-lactamase SHV-200",286
2577,"WP_032488343.1",3946,"EreB family erythromycin esterase",419
2578,"WP_032488330.1",2578,"aminoglycoside O-nucleotidyltransferase ANT(4')-Ia",256
2579,"WP_032456002.1",1305,"MULTISPECIES: class A broad-spectrum beta-lactamase OKP-B-3",286
2580,"WP_032452758.1",1305,"MULTISPECIES: class A broad-spectrum beta-lactamase OKP-B-3",286
2581,"WP_032410229.1",1221,"OXA-10 family class D beta-lactamase OXA-251",266
2582,"WP_032097955.1",1448,"class C beta-lactamase DHA-21",379
2583,"WP_032084014.1",4314,"MULTISPECIES: EreA family erythromycin esterase",406
2584,"WP_032084013.1",573,"trimethoprim-resistant dihydrofolate reductase DfrA17",157
2585,"WP_032071188.1",653,"class C beta-lactamase ADC-98",384
2586,"WP_032068214.1",653,"class C beta-lactamase ADC-98",383
2587,"WP_032058439.1",383,"OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-561",274
2588,"WP_032051604.1",383,"OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-561",274
2589,"WP_032037870.1",653,"class C beta-lactamase ADC-98",383
2590,"WP_032037742.1",383,"OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-561",274
2591,"WP_032030965.1",383,"OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-561",274
2592,"WP_032027415.1",653,"class C beta-lactamase ADC-98",384
2593,"WP_032025569.1",383,"OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-561",274
2594,"WP_032007272.1",2137,"MULTISPECIES: OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-417",273
2595,"WP_032003497.1",2137,"MULTISPECIES: OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-417",273
2596,"WP_031980335.1",653,"class C beta-lactamase ADC-98",383
2597,"WP_031978611.1",383,"OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-561",274
2598,"WP_031976872.1",383,"OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-561",274
2599,"WP_031973850.1",653,"class C beta-lactamase ADC-98",383
2600,"WP_031965243.1",653,"class C beta-lactamase ADC-98",383
2601,"WP_031963705.1",383,"OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-561",274
2602,"WP_031961878.1",653,"class C beta-lactamase ADC-98",384
2603,"WP_031960432.1",383,"OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-561",274
2604,"WP_031943232.1",2604,"subclass B1 metallo-beta-lactamase IMP-31",245
2605,"WP_031942394.1",2903,"MULTISPECIES: class A beta-lactamase LAP-2",285
2606,"WP_031942271.1",2506,"MULTISPECIES: class A extended-spectrum beta-lactamase CTX-M-64",291
2607,"WP_031847165.1",2632,"carbenicillin-hydrolyzing class A beta-lactamase CARB-34",283
2608,"WP_031841337.1",2632,"carbenicillin-hydrolyzing class A beta-lactamase CARB-34",283
2609,"WP_031795517.1",2609,"ABC-F type ribosomal protection protein Vga(E)",524
2610,"WP_031692400.1",60,"class C beta-lactamase PDC-300",397
2611,"WP_031690214.1",60,"class C beta-lactamase PDC-300",397
2612,"WP_031687354.1",60,"class C beta-lactamase PDC-300",397
2613,"WP_031630420.1",60,"class C beta-lactamase PDC-300",397
2614,"WP_031464190.1",1887,"quaternary ammonium compound efflux MFS transporter QacB",514
2615,"WP_031413517.1",2632,"carbenicillin-hydrolyzing class A beta-lactamase CARB-34",283
2616,"WP_031281281.1",2616,"MULTISPECIES: type B chloramphenicol O-acetyltransferase",210
2617,"WP_031204920.1",2617,"MULTISPECIES: tetracycline efflux MFS transporter Tet(31)",403
2618,"WP_031192893.1",2618,"MULTISPECIES: ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA31",262
2619,"WP_031136588.1",2619,"MULTISPECIES: aminoglycoside N-acetyltransferase AAC(3)-VIII",287
2620,"WP_031129630.1",4029,"aminoglycoside O-phosphotransferase APH(3')-Va",268
2621,"WP_031084431.1",2621,"MULTISPECIES: aminoglycoside 6'-N-acetyltransferase",157
2622,"WP_030892446.1",2622,"BlaL family class A beta-lactamase",325
2623,"WP_030877515.1",2622,"BlaL family class A beta-lactamase",325
2624,"WP_030778152.1",2624,"MULTISPECIES: OleI family self-immunity macrolide glycosyltransferase",424
2625,"WP_030695745.1",3163,"aminoglycoside 6'-N-acetyltransferase",160
2626,"WP_030403494.1",2621,"MULTISPECIES: aminoglycoside 6'-N-acetyltransferase",157
2627,"WP_029925205.1",1317,"class C extended-spectrum beta-lactamase OCH-6",390
2628,"WP_029884393.1",2354,"multidrug efflux RND transporter permease subunit OqxB21",1050
2629,"WP_029839920.1",2632,"carbenicillin-hydrolyzing class A beta-lactamase CARB-34",283
2630,"WP_029837067.1",2632,"carbenicillin-hydrolyzing class A beta-lactamase CARB-34",283
2631,"WP_029834158.1",2632,"carbenicillin-hydrolyzing class A beta-lactamase CARB-34",283
2632,"WP_029815111.1",2632,"carbenicillin-hydrolyzing class A beta-lactamase CARB-34",283
2633,"WP_029795186.1",2632,"carbenicillin-hydrolyzing class A beta-lactamase CARB-34",283
2634,"WP_029610673.1",60,"class C beta-lactamase PDC-300",397
2635,"WP_029487031.1",1807,"D-alanine--D-serine ligase VanC1",343
2636,"WP_029424536.1",653,"class C beta-lactamase ADC-98",383
2637,"WP_029424390.1",383,"OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-561",274
2638,"WP_029391459.1",2638,"aminoglycoside 6'-N-acetyltransferase",160
2639,"WP_028530136.1",1733,"D-Ala-D-Ala dipeptidase VanX-D",202
2640,"WP_028530135.1",1804,"D-alanine--(R)-lactate ligase VanD",343
2641,"WP_028530134.1",2641,"MULTISPECIES: D-lactate dehydrogenase VanH-D",323
2642,"WP_028530133.1",2642,"VanD-type vancomycin resistance histidine kinase VanS",381
2643,"WP_028030786.1",2643,"MULTISPECIES: RCP family class A beta-lactamase",293
2644,"WP_027814019.1",2644,"MULTISPECIES: aminoglycoside 6'-N-acetyltransferase AacA38",184
2645,"WP_027789588.1",2645,"PenA family class A beta-lactamase",312
2646,"WP_027373439.1",2646,"MULTISPECIES: class A extended-spectrum beta-lactamase CIA-4",292
2647,"WP_026328431.1",2638,"aminoglycoside 6'-N-acetyltransferase",160
2648,"WP_026025287.1",2648,"subclass B1 metallo-beta-lactamase ALI-1",245
2649,"WP_025816575.1",2632,"carbenicillin-hydrolyzing class A beta-lactamase CARB-34",283
2650,"WP_025794721.1",2632,"carbenicillin-hydrolyzing class A beta-lactamase CARB-34",283
2651,"WP_025788060.1",2632,"carbenicillin-hydrolyzing class A beta-lactamase CARB-34",283
2652,"WP_025714684.1",1429,"cephalosporin-hydrolyzing class C beta-lactamase FOX-12",382
2653,"WP_025712239.1",1345,"class A beta-lactamase LEN-15",286
2654,"WP_025672409.1",497,"ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1",263
2655,"WP_025632811.1",2632,"carbenicillin-hydrolyzing class A beta-lactamase CARB-34",283
2656,"WP_025623492.1",2632,"carbenicillin-hydrolyzing class A beta-lactamase CARB-34",283
2657,"WP_025577435.1",2632,"carbenicillin-hydrolyzing class A beta-lactamase CARB-34",283
2658,"WP_025551322.1",2632,"carbenicillin-hydrolyzing class A beta-lactamase CARB-34",283
2659,"WP_025546314.1",2632,"carbenicillin-hydrolyzing class A beta-lactamase CARB-34",283
2660,"WP_025535332.1",2632,"carbenicillin-hydrolyzing class A beta-lactamase CARB-34",283
2661,"WP_025525762.1",2632,"carbenicillin-hydrolyzing class A beta-lactamase CARB-34",283
2662,"WP_025521699.1",2632,"carbenicillin-hydrolyzing class A beta-lactamase CARB-34",283
2663,"WP_025442943.1",2632,"carbenicillin-hydrolyzing class A beta-lactamase CARB-34",285
2664,"WP_025370306.1",3033,"MULTISPECIES: PenI family class A extended-spectrum beta-lactamase",294
2665,"WP_025368648.1",2665,"MULTISPECIES: RmtG family 16S rRNA (guanine(1405)-N(7))-methyltransferase",264
2666,"WP_025368620.1",2362,"MULTISPECIES: class A extended-spectrum beta-lactamase CTX-M-115",291
2667,"WP_025368619.1",2503,"MULTISPECIES: chloramphenicol efflux MFS transporter CmlA8",419
2668,"WP_025325152.1",60,"class C beta-lactamase PDC-300",397
2669,"WP_025304332.1",2092,"aminoglycoside 6'-N-acetyltransferase",146
2670,"WP_025206265.1",264,"cephalosporin-hydrolyzing class C beta-lactamase ACT-54",381
2671,"WP_025205684.1",2671,"MULTISPECIES: fosfomycin resistance glutathione transferase FosA2",141
2672,"WP_025107110.1",1064,"class A extended-spectrum beta-lactamase OXY-6-3",291
2673,"WP_025006557.1",136,"OXA-61 family class D beta-lactamase OXA-596",257
2674,"WP_024956926.1",2896,"aminoglycoside N-acetyltransferase AAC(6')-Iz",153
2675,"WP_024915536.1",60,"class C beta-lactamase PDC-300",397
2676,"WP_024635824.1",480,"aminoglycoside N-acetyltransferase AAC(6')-Ii",182
2677,"WP_024531321.1",2677,"carbapenem-hydrolyzing class A beta-lactamase SFC-1",309
2678,"WP_024438993.1",383,"OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-561",274
2679,"WP_024437351.1",2679,"AAC(6')-Ia family aminoglycoside 6'-N-acetyltransferase AacA43",187
2680,"WP_024437054.1",2680,"MULTISPECIES: AAC(6')-II family aminoglycoside 6'-N-acetyltransferase AacA35",184
2681,"WP_024436624.1",653,"class C beta-lactamase ADC-98",383
2682,"WP_024433915.1",383,"OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-561",274
2683,"WP_024266192.1",819,"quinolone resistance pentapeptide repeat protein QnrA4",218
2684,"WP_024198294.1",497,"ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1",263
2685,"WP_024131607.1",497,"ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1",263
2686,"WP_024127829.1",2686,"macrolide efflux MFS transporter Mef(A)",405
2687,"WP_024069684.1",2150,"class D beta-lactamase OXA-114c",275
2688,"WP_024052575.1",3247,"MULTISPECIES: tetracycline resistance ribosomal protection protein Tet(M)",639
2689,"WP_023913271.1",60,"class C beta-lactamase PDC-300",397
2690,"WP_023874922.1",60,"class C beta-lactamase PDC-300",397
2691,"WP_023624728.1",2632,"carbenicillin-hydrolyzing class A beta-lactamase CARB-34",283
2692,"WP_023529211.1",2692,"aminoglycoside 6'-N-acetyltransferase",161
2693,"WP_023519215.1",2372,"aminoglycoside N-acetyltransferase AAC(6')-Ii",180
2694,"WP_023442721.1",856,"MULTISPECIES: subclass B1 metallo-beta-lactamase VIM-6",266
2695,"WP_023434793.1",2695,"MULTISPECIES: 16S rRNA (guanine(1405)-N(7))-methyltransferase RmtF2",259
2696,"WP_023417224.1",3163,"aminoglycoside 6'-N-acetyltransferase",160
2697,"WP_023408309.1",434,"subclass B1 metallo-beta-lactamase NDM-18",270
2698,"WP_023342632.1",2354,"multidrug efflux RND transporter permease subunit OqxB21",1050
2699,"WP_023331841.1",264,"cephalosporin-hydrolyzing class C beta-lactamase ACT-54",381
2700,"WP_023329386.1",1072,"class A extended-spectrum beta-lactamase OXY-2-15",290
2701,"WP_023326542.1",2145,"MULTISPECIES: cephalosporin-hydrolyzing class C beta-lactamase MIR-5",381
2702,"WP_023323140.1",2354,"multidrug efflux RND transporter permease subunit OqxB21",1050
2703,"WP_023318187.1",1305,"MULTISPECIES: class A broad-spectrum beta-lactamase OKP-B-3",286
2704,"WP_023315250.1",1672,"cephalosporin-hydrolyzing class C beta-lactamase ACT-7",381
2705,"WP_023297577.1",1345,"class A beta-lactamase LEN-15",286
2706,"WP_023295792.1",1672,"cephalosporin-hydrolyzing class C beta-lactamase ACT-7",381
2707,"WP_023293464.1",2145,"MULTISPECIES: cephalosporin-hydrolyzing class C beta-lactamase MIR-5",381
2708,"WP_023289605.1",1305,"MULTISPECIES: class A broad-spectrum beta-lactamase OKP-B-3",286
2709,"WP_023282555.1",280,"class A beta-lactamase SHV-200",286
2710,"WP_023281079.1",1403,"class A beta-lactamase HER-6",290
2711,"WP_023130930.1",60,"class C beta-lactamase PDC-300",397
2712,"WP_023115067.1",60,"class C beta-lactamase PDC-300",397
2713,"WP_023114693.1",60,"class C beta-lactamase PDC-300",397
2714,"WP_023109643.1",60,"class C beta-lactamase PDC-300",397
2715,"WP_023100808.1",60,"class C beta-lactamase PDC-300",397
2716,"WP_023092413.1",60,"class C beta-lactamase PDC-300",397
2717,"WP_023091031.1",60,"class C beta-lactamase PDC-300",397
2718,"WP_023089477.1",60,"class C beta-lactamase PDC-300",397
2719,"WP_023085632.1",60,"class C beta-lactamase PDC-300",397
2720,"WP_023043165.1",1781,"VanD-type vancomycin resistance DNA-binding response regulator VanR",232
2721,"WP_023043160.1",1792,"D-lactate dehydrogenase VanH-D",323
2722,"WP_023043159.1",2722,"D-alanine--(R)-lactate ligase VanD",343
2723,"WP_023043158.1",2723,"MULTISPECIES: D-Ala-D-Ala dipeptidase VanX-D",202
2724,"WP_023042861.1",1733,"D-Ala-D-Ala dipeptidase VanX-D",202
2725,"WP_023042613.1",1781,"VanD-type vancomycin resistance DNA-binding response regulator VanR",232
2726,"WP_023042300.1",2722,"D-alanine--(R)-lactate ligase VanD",343
2727,"WP_023042299.1",2641,"MULTISPECIES: D-lactate dehydrogenase VanH-D",323
2728,"WP_023042297.1",2642,"VanD-type vancomycin resistance histidine kinase VanS",381
2729,"WP_022675713.1",4051,"ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA11",281
2730,"WP_022646807.1",1672,"cephalosporin-hydrolyzing class C beta-lactamase ACT-7",381
2731,"WP_022631510.1",3509,"AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase",184
2732,"WP_022631162.1",3509,"AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase",184
2733,"WP_022580963.1",60,"class C beta-lactamase PDC-300",397
2734,"WP_022071788.1",2734,"MULTISPECIES: lincosamide nucleotidyltransferase Lnu(P)",166
2735,"WP_021588763.1",2735,"nitroimidazole resistance protein NimI",172
2736,"WP_021566672.1",4314,"MULTISPECIES: EreA family erythromycin esterase",408
2737,"WP_021529707.1",3146,"MULTISPECIES: trimethoprim-resistant dihydrofolate reductase DfrA14",157
2738,"WP_021505085.1",2092,"aminoglycoside 6'-N-acetyltransferase",146
2739,"WP_021459345.1",371,"class A beta-lactamase ARL-1",282
2740,"WP_021424053.1",2027,"aminoglycoside O-phosphotransferase APH(2'')-If",297
2741,"WP_021419095.1",1744,"glycopeptide resistance accessory protein VanW-G",281
2742,"WP_021418929.1",2742,"MULTISPECIES: glycopeptide resistance transcriptional regulator VanU",75
2743,"WP_021418928.1",2743,"MULTISPECIES: VanG-type vancomycin resistance DNA-binding response regulator VanR",235
2744,"WP_021418927.1",3857,"VanG-type vancomycin resistance histidine kinase VanS",368
2745,"WP_021418926.1",3851,"D-Ala-D-Ala carboxypeptidase VanY-G",279
2746,"WP_021418924.1",2746,"MULTISPECIES: D-alanine--D-serine ligase VanG",349
2747,"WP_021418922.1",2747,"MULTISPECIES: membrane-bound serine racemase VanT-G",712
2748,"WP_021401024.1",2748,"MULTISPECIES: aminoglycoside O-phosphotransferase APH(2'')-IVa",301
2749,"WP_021312368.1",2354,"multidrug efflux RND transporter permease subunit OqxB21",1050
2750,"WP_021285909.1",2750,"ANT(9) family aminoglycoside nucleotidyltransferase Spd",257
2751,"WP_021034342.1",2751,"MULTISPECIES: aminoglycoside O-phosphotransferase APH(2'')-Ig",306
2752,"WP_021018609.1",1379,"MULTISPECIES: subclass B1 metallo-beta-lactamase IMP-45",245
2753,"WP_021018581.1",1991,"type B-3 chloramphenicol O-acetyltransferase CatB8",210
2754,"WP_020924773.1",2754,"carbapenem-hydrolyzing class A beta-lactamase AXC-1",298
2755,"WP_020848173.1",2755,"class D beta-lactamase OXA-491",253
2756,"WP_020836977.1",136,"OXA-61 family class D beta-lactamase OXA-596",257
2757,"WP_020835015.1",2632,"carbenicillin-hydrolyzing class A beta-lactamase CARB-34",283
2758,"WP_020442395.1",819,"quinolone resistance pentapeptide repeat protein QnrA4",218
2759,"WP_019727244.1",1872,"sulfonamide-resistant dihydropteroate synthase Sul1",293
2760,"WP_019726361.1",764,"MULTISPECIES: 16S rRNA (guanine(1405)-N(7))-methyltransferase RmtD2",247
2761,"WP_019722502.1",2372,"aminoglycoside N-acetyltransferase AAC(6')-Ii",180
2762,"WP_019704817.1",2354,"multidrug efflux RND transporter permease subunit OqxB21",1050
2763,"WP_019655053.1",2763,"aminoglycoside 6'-N-acetyltransferase",184
2764,"WP_019485213.1",60,"class C beta-lactamase PDC-300",397
2765,"WP_019453091.1",2092,"aminoglycoside 6'-N-acetyltransferase",146
2766,"WP_019407932.1",2377,"aminoglycoside O-phosphotransferase APH(3')-XV",264
2767,"WP_019083125.1",2926,"class A beta-lactamase BlaA",294
2768,"WP_018893623.1",3163,"aminoglycoside 6'-N-acetyltransferase",160
2769,"WP_018659526.1",2769,"MULTISPECIES: aminoglycoside O-phosphotransferase APH(2'')-IIIa",306
2770,"WP_018374806.1",2686,"macrolide efflux MFS transporter Mef(A)",405
2771,"WP_018211347.1",2771,"D-alanine--(R)-lactate ligase VanI",345
2772,"WP_017900346.1",1305,"MULTISPECIES: class A broad-spectrum beta-lactamase OKP-B-3",286
2773,"WP_017816859.1",383,"OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-561",274
2774,"WP_017694683.1",1672,"cephalosporin-hydrolyzing class C beta-lactamase ACT-7",381
2775,"WP_017480710.1",653,"class C beta-lactamase ADC-98",383
2776,"WP_017395772.1",3084,"AAC(6')-Ighjkrstuvwx family aminoglycoside N-acetyltransferase",145
2777,"WP_017386798.1",2137,"MULTISPECIES: OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-417",273
2778,"WP_017383966.1",1672,"cephalosporin-hydrolyzing class C beta-lactamase ACT-7",381
2779,"WP_016947602.1",2354,"multidrug efflux RND transporter permease subunit OqxB21",1050
2780,"WP_016930164.1",2092,"aminoglycoside 6'-N-acetyltransferase",146
2781,"WP_016922374.1",2943,"MULTISPECIES: fosfomycin resistance bacillithiol transferase FosB1",139
2782,"WP_016852290.1",2782,"MULTISPECIES: OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-396",262
2783,"WP_016656536.1",2783,"MULTISPECIES: aminoglycoside O-phosphotransferase APH(3')-VIII",259
2784,"WP_016651650.1",3062,"MULTISPECIES: AAC(6')-Ighjkrstuvwx family aminoglycoside N-acetyltransferase",146
2785,"WP_016628216.1",480,"aminoglycoside N-acetyltransferase AAC(6')-Ii",182
2786,"WP_016575755.1",2786,"MULTISPECIES: aminoglycoside N-acetyltransferase AAC(6')-Isa",157
2787,"WP_016562272.1",60,"class C beta-lactamase PDC-300",397
2788,"WP_016541245.1",2038,"aminoglycoside N-acetyltransferase AAC(6')-It",146
2789,"WP_016439437.1",2141,"MULTISPECIES: aminoglycoside O-phosphotransferase APH(2'')-IIa",299
2790,"WP_016331866.1",1737,"D-Ala-D-Ala dipeptidase VanX-Ao1",202
2791,"WP_016331865.1",2791,"D-alanine--(R)-lactate ligase VanA-Ao2",348
2792,"WP_016295750.1",1781,"VanD-type vancomycin resistance DNA-binding response regulator VanR",232
2793,"WP_016263090.1",60,"class C beta-lactamase PDC-300",397
2794,"WP_016252988.1",60,"class C beta-lactamase PDC-300",397
2795,"WP_016177698.1",4415,"MULTISPECIES: aminoglycoside N-acetyltransferase AAC(6')-Iih",183
2796,"WP_016172918.1",2796,"aminoglycoside 6'-N-acetyltransferase",185
2797,"WP_016162901.1",2037,"aminoglycoside N-acetyltransferase AAC(6')-Ix",146
2798,"WP_016160983.1",1345,"class A beta-lactamase LEN-15",286
2799,"WP_016155498.1",43,"class C beta-lactamase CMY-163",381
2800,"WP_016145058.1",2137,"MULTISPECIES: OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-417",273
2801,"WP_016141238.1",1186,"OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-350",273
2802,"WP_016138346.1",2802,"OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-269",273
2803,"WP_016078774.1",2803,"Mph(B) family macrolide 2'-phosphotransferase",299
2804,"WP_015943583.1",2804,"D-alanine--(R)-lactate ligase VanI",341
2805,"WP_015943580.1",2805,"D-Ala-D-Ala dipeptidase VanX-I",202
2806,"WP_015860243.1",2806,"FosX/FosE/FosI family fosfomycin resistance thiol transferase",154
2807,"WP_015818996.1",2807,"subclass B1 metallo-beta-lactamase TTU-1",243
2808,"WP_015740450.1",2808,"MULTISPECIES: quaternary ammonium compound efflux SMR transporter QacG",107
2809,"WP_015735625.1",2809,"23S rRNA (adenine(2503)-C(8))-methyltransferase CipA",346
2810,"WP_015684602.1",2810,"BJP family subclass B3 metallo-beta-lactamase",294
2811,"WP_015649877.1",2782,"MULTISPECIES: OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-396",262
2812,"WP_015632396.1",2695,"MULTISPECIES: 16S rRNA (guanine(1405)-N(7))-methyltransferase RmtF2",259
2813,"WP_015589629.1",3886,"tetracycline efflux MFS transporter Tet(H)",393
2814,"WP_015589625.1",1630,"RTG family carbenicillin-hydrolyzing class A extended-spectrum beta-lactamase CARB-10",298
2815,"WP_015573056.1",2815,"tetracycline resistance ribosomal protection protein Tet(32)",639
2816,"WP_015573055.1",2816,"tetracycline efflux MFS transporter Tet(40)",406
2817,"WP_015572455.1",1672,"cephalosporin-hydrolyzing class C beta-lactamase ACT-7",381
2818,"WP_015431537.1",232,"class A beta-lactamase ROB-5",305
2819,"WP_015379489.1",914,"class A beta-lactamase TEM-219",286
2820,"WP_015379140.1",2092,"aminoglycoside 6'-N-acetyltransferase",146
2821,"WP_015365452.1",914,"class A beta-lactamase TEM-219",286
2822,"WP_015345560.1",2822,"EreD family erythromycin esterase",408
2823,"WP_015345217.1",2823,"23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(36)",281
2824,"WP_015266427.1",2824,"subclass B1 metallo-beta-lactamase ECV-1",257
2825,"WP_015256839.1",251,"carbapenem-hydrolyzing class A beta-lactamase KPC-33",293
2826,"WP_015243636.1",512,"quaternary ammonium compound efflux SMR transporter QacF",110
2827,"WP_015083750.1",409,"subclass B1 metallo-beta-lactamase CfiA17",249
2828,"WP_015063357.1",546,"MULTISPECIES: quaternary ammonium compound efflux SMR transporter QacG2",110
2829,"WP_015062847.1",251,"carbapenem-hydrolyzing class A beta-lactamase KPC-33",293
2830,"WP_015060600.1",3863,"tetracycline-inactivating monooxygenase Tet(X)",388
2831,"WP_015060376.1",2905,"MULTISPECIES: tetracycline efflux MFS transporter Tet(L)",460
2832,"WP_015060203.1",2981,"sulfonamide-resistant dihydropteroate synthase Sul2",283
2833,"WP_015060052.1",301,"OXA-48 family class D beta-lactamase OXA-519",265
2834,"WP_015059991.1",301,"OXA-48 family class D beta-lactamase OXA-519",265
2835,"WP_015059965.1",2835,"MULTISPECIES: aminocyclitol acetyltransferase ApmA",274
2836,"WP_015059331.1",43,"class C beta-lactamase CMY-163",381
2837,"WP_015059047.1",512,"quaternary ammonium compound efflux SMR transporter QacF",110
2838,"WP_015059046.1",1411,"class A beta-lactamase GES-30",287
2839,"WP_015059045.1",1411,"class A beta-lactamase GES-30",287
2840,"WP_015059044.1",4058,"aminoglycoside 6'-N-acetyltransferase AAC(6')-I30",184
2841,"WP_015059026.1",246,"class A extended-spectrum beta-lactamase CTX-M-191",291
2842,"WP_015058260.1",756,"quinolone resistance pentapeptide repeat protein QnrS13",218
2843,"WP_015058212.1",43,"class C beta-lactamase CMY-163",381
2844,"WP_015056382.1",43,"class C beta-lactamase CMY-163",381
2845,"WP_014932145.1",1108,"OXA-63 family oxacillin-hydrolyzing class D beta-lactamase OXA-476",269
2846,"WP_014882211.1",2145,"MULTISPECIES: cephalosporin-hydrolyzing class C beta-lactamase MIR-5",381
2847,"WP_014845076.1",2847,"MULTISPECIES: oxacillin-hydrolyzing class D beta-lactamase OXA-29",266
2848,"WP_014714131.1",2848,"fosfomycin resistance thiol transferase FosI",134
2849,"WP_014636304.1",2686,"macrolide efflux MFS transporter Mef(A)",405
2850,"WP_014636291.1",2948,"tetracycline resistance ribosomal protection protein Tet(O)",639
2851,"WP_014387148.1",1817,"D-alanine--(R)-lactate ligase VanB",342
2852,"WP_014386815.1",1863,"tetracycline efflux MFS transporter Tet(B)",401
2853,"WP_014386813.1",3247,"MULTISPECIES: tetracycline resistance ribosomal protection protein Tet(M)",639
2854,"WP_014386804.1",2854,"MULTISPECIES: macrolide efflux MFS transporter Mef(C)",407
2855,"WP_014386803.1",2855,"MULTISPECIES: Mph(G) family macrolide 2'-phosphotransferase",294
2856,"WP_014386410.1",4555,"MULTISPECIES: aminoglycoside O-phosphotransferase APH(3')-VIb",259
2857,"WP_014343560.1",756,"quinolone resistance pentapeptide repeat protein QnrS13",218
2858,"WP_014325835.1",4570,"MULTISPECIES: Mph(E) family macrolide 2'-phosphotransferase",294
2859,"WP_014325834.1",3487,"ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA8",263
2860,"WP_014208115.1",3296,"MULTISPECIES: aminoglycoside nucleotidyltransferase ANT(3'')-IIa",262
2861,"WP_014206564.1",2137,"MULTISPECIES: OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-417",273
2862,"WP_014158490.1",2567,"23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(C)",244
2863,"WP_014078528.1",1835,"MULTISPECIES: tetracycline resistance ribosomal protection protein Tet(W)",639
2864,"WP_014053563.1",2864,"class D beta-lactamase OXA-209",274
2865,"WP_013992183.1",2865,"subclass B1 metallo-beta-lactamase ZOG-1",247
2866,"WP_013981172.1",2145,"MULTISPECIES: cephalosporin-hydrolyzing class C beta-lactamase MIR-5",380
2867,"WP_013846594.1",2867,"class A beta-lactamase SGM-4",309
2868,"WP_013279314.1",914,"class A beta-lactamase TEM-219",286
2869,"WP_013263789.1",2090,"subclass B1 metallo-beta-lactamase VIM-29",266
2870,"WP_013255389.1",2870,"subclass B1 metallo-beta-lactamase SPS-1",276
2871,"WP_013250881.1",1411,"class A beta-lactamase GES-30",287
2872,"WP_013244277.1",1108,"OXA-63 family oxacillin-hydrolyzing class D beta-lactamase OXA-476",269
2873,"WP_013188473.1",9,"class A extended-spectrum beta-lactamase CTX-M-222",291
2874,"WP_013095270.1",2256,"class C beta-lactamase CMH-5",381
2875,"WP_012968280.1",1345,"class A beta-lactamase LEN-15",286
2876,"WP_012967412.1",2354,"multidrug efflux RND transporter permease subunit OqxB21",1050
2877,"WP_012954666.1",181,"quinolone resistance pentapeptide repeat protein QnrB81",214
2878,"WP_012881330.1",1863,"tetracycline efflux MFS transporter Tet(B)",402
2879,"WP_012775603.1",2948,"tetracycline resistance ribosomal protection protein Tet(O)",639
2880,"WP_012705551.1",2880,"BlaR1 family beta-lactam sensor/signal transducer",593
2881,"WP_012704143.1",2881,"penicillin-hydrolyzing class A beta-lactamase CBP-1",308
2882,"WP_012698469.1",195,"class C beta-lactamase LHK-5",390
2883,"WP_012695486.1",2883,"MULTISPECIES: NAD(+)--rifampin ADP-ribosyltransferase",137
2884,"WP_012695484.1",2274,"aminoglycoside N-acetyltransferase AAC(6')-IIc",193
2885,"WP_012695457.1",2885,"MULTISPECIES: subclass B1 metallo-beta-lactamase IMP-8",246
2886,"WP_012669445.1",2948,"tetracycline resistance ribosomal protection protein Tet(O)",639
2887,"WP_012662081.1",1089,"OXA-493 family class D beta-lactamase OXA-518",248
